epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,3364.46,0.68512,0.48819,0.8603,0.8861,0.95304,0.95499,0.76492,0.78142,0.65092,0.93841,0.000317025,0.000317025,0.000317025
55,3424.45,0.65197,0.45486,0.84891,0.89923,0.97785,0.96311,0.76458,0.7764,0.67011,0.93686,0.000310422,0.000310422,0.000310422
56,3484.13,0.68917,0.46622,0.8553,0.93605,0.95611,0.9604,0.76521,0.7617,0.6647,0.9295,0.000303818,0.000303818,0.000303818
57,3543.91,0.65775,0.44486,0.85635,0.92244,0.95288,0.9582,0.77004,0.7594,0.67827,0.92926,0.000297215,0.000297215,0.000297215
58,3603.6,0.6729,0.44566,0.84737,0.92163,0.92865,0.95746,0.75808,0.77596,0.66273,0.93253,0.000290612,0.000290612,0.000290612
59,3664.3,0.66475,0.43648,0.84322,0.93905,0.95046,0.96052,0.77286,0.74505,0.65481,0.92107,0.000284009,0.000284009,0.000284009
60,3725.08,0.67452,0.45457,0.86028,0.90065,0.96602,0.93979,0.75526,0.75311,0.68181,0.92345,0.000277405,0.000277405,0.000277405
61,3784.45,0.66243,0.43924,0.85379,0.91692,0.94841,0.93892,0.76355,0.76173,0.67688,0.93278,0.000270802,0.000270802,0.000270802
62,3843.59,0.65296,0.44135,0.85408,0.92374,0.95318,0.95026,0.77232,0.73987,0.64994,0.91905,0.000264199,0.000264199,0.000264199
63,3904.58,0.66301,0.44949,0.84582,0.92495,0.93431,0.95943,0.75674,0.75778,0.63946,0.92635,0.000257595,0.000257595,0.000257595
64,3964.77,0.65713,0.43195,0.84518,0.92235,0.94989,0.95969,0.76024,0.77768,0.6486,0.93682,0.000250992,0.000250992,0.000250992
65,4023.37,0.66646,0.4524,0.86062,0.90826,0.93733,0.93374,0.74524,0.75765,0.66961,0.93155,0.000244389,0.000244389,0.000244389
66,4082.45,0.6755,0.44233,0.85458,0.90526,0.96121,0.94298,0.76648,0.73477,0.65932,0.91416,0.000237785,0.000237785,0.000237785
67,4141.18,0.65472,0.4313,0.84869,0.90288,0.97221,0.94985,0.76583,0.75772,0.65733,0.92545,0.000231182,0.000231182,0.000231182
68,4201.44,0.66268,0.43065,0.85245,0.90316,0.97312,0.96055,0.77806,0.76532,0.62333,0.93199,0.000224579,0.000224579,0.000224579
69,4261.65,0.65456,0.43633,0.84904,0.92288,0.95452,0.9543,0.77431,0.75533,0.63215,0.9283,0.000217976,0.000217976,0.000217976
70,4321.6,0.66284,0.42443,0.85012,0.91763,0.9751,0.95289,0.77322,0.75566,0.61841,0.92528,0.000211372,0.000211372,0.000211372
71,4381.15,0.66773,0.43404,0.84367,0.94255,0.94927,0.95797,0.76881,0.74338,0.60518,0.92099,0.000204769,0.000204769,0.000204769
72,4440.05,0.67467,0.41972,0.85069,0.91527,0.93992,0.95878,0.77966,0.76387,0.6155,0.93322,0.000198166,0.000198166,0.000198166
73,4498.6,0.66177,0.42291,0.851,0.92996,0.93872,0.95599,0.78157,0.75038,0.60906,0.92772,0.000191562,0.000191562,0.000191562
74,4558.64,0.64198,0.40818,0.84428,0.92317,0.93754,0.95028,0.7655,0.76192,0.6166,0.93003,0.000184959,0.000184959,0.000184959
